1.0	0.0	1.000	1.000	0.000	3.053
0.9	0.1	0.910	1.011	0.247	2.469
0.8	0.2	0.837	1.046	0.409	2.043
0.7	0.3	0.774	1.106	0.518	1.728
0.6	0.4	0.717	1.195	0.598	1.494
0.5	0.5	0.661	1.322	0.661	1.322
0.4	0.6	0.598	1.494	0.717	1.195
0.3	0.7	0.518	1.728	0.774	1.106
0.2	0.8	0.409	2.043	0.837	1.046
0.1	0.9	0.247	2.469	0.910	1.011
0.0	1.0	0.000	3.053	1.000	1.000
